[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=16 / layers=129  idx=49561 / solSize=50311
[BC] updateElectrodeVoltage(  idx=LAYER=12510 / solSize=50311
LAYER=114 / layers=129  idx=50311372088711154
6) V=-1.37287 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 55
  attr  / layers=1UPDATE VOLTAGE START / layers=129 :   idx=41242 / solSize=
380 bdr elements
[BC] ess_tdof_list size = 50311 / solSize=
129  idx=27463 / solSize=50311
LAYER=28 / layers=129  idx=47912 / solSize=50311
LAYER=107 / layers=129  idx=15772 / solSize=5031150311
 / solSize=LAYER=83 / layers=402

LAYER=60
LAYER=84 / layers=129  idx=29072 / solSize=50311
LAYER=118 / layers=129  idx=8795 / solSize=[BC] updateElectrodeVoltage( / layers=36227LAYER=114 / layers=129  idx=11072 / solSize=50311
LAYER=2 / layers=129LAYER=1295031198  idx=29594 / solSize=50311
7LAYER=50311
 / layers=129  idx=
) V=129LAYER=38 / layers=129118LAYER=-0.391886  idx=21522 #verts=  idx=8650295 / solSize=50311
LAYER=42 / layers=129 / solSize=45914  idx= / layers=50311
 / solSize=LAYER=44979129 / solSize= / layers= / solSize=50311129  idx=27965 / solSize=50311  idx=
45LAYER=60 / layers=129  idx=39648 / solSize=50311
50311 / layers=
50LAYER=82 / layers=129  idx=29941 / solSize=50311
LAYER=103 / layers=129  idx=18495 / solSize=50311
LAYER=71 / layers=8886129  idx=44331 / solSize=50311
LAYER=120 / layers=129  idx=6874 / solSize=50311
50311
[BC] solutionVector finite after write? LAYER= / solSize=  idx=LAYER=
yes82LAYER=57
 / layers=129
44129  idx=39670 / layers=  idx= / layers=129  idx=30320 / solSize=50311
LAYER=40450LAYER=37 / layers=129  idx=46308 / solSize=50311
LAYER=44 / layers=129  idx=44559 / solSize=50311
LAYER=124 / layers=129  idx= / solSize=120 / layers=UPDATE VOLTAGE END 388335107129
[RUN] begin: sol size=5031150311
[RUN] solutionVector finite at entry?   idx=7380 / solSize=50311
LAYER=124 / layers=50311 / solSize= / solSize=129
yes50311
50311  idx=129
 / solSize=
LAYER=50311
  idx=44616 / solSize=50311
110
 / layers=LAYER=LAYER=LAYER=42917295 / layers=129  idx=23084 / solSize=50311
LAYER= / solSize=103 / layers=50311 / layers=129  idx=18515 / solSize=50311
12985LAYER=LAYER=LAYER= / layers=90 / layers=129  idx=2608570  idx= / solSize=11112934825 / solSize=  idx=50311 / layers=12950311

12928889LAYER= / layers=LAYER=87129 / layers=129 / solSize=  idx=  idx=  idx=
1319237  idx= / solSize=50311 / layers=LAYER=35674 / solSize=50311
LAYER=35 / layers=129  idx=46615 / solSize=50311
LAYER=120 / layers=129  idx=6942 / solSize=50311
LAYER=
27633129127 / solSize=50311LAYER=100 / layers=129  idx=20112 / layers=
68LAYER=37 / layers=129  idx=46131 / solSize=50311
LAYER=100 / layers=129  idx=20116 / solSize= / solSize=5031113942129 / layers=  idx=
503111921LAYER=118 / layers=129  idx= / solSize=46255
LAYER=67 / layers=129  idx=36894 / solSize=50311
LAYER=5031193129 / layers= / solSize=
LAYER=88 / layers=129  idx=27255 / solSize=50311
LAYER=107 / layers=129  idx=15682 / solSize=50311  idx=50311
  idx=
8369 / solSize=LAYER=50311LAYER=905031124 / layers=129  idx= / solSize=4853150311
 / solSize=LAYER=
10650311
LAYER=109 / layers=129  idx=14756 / solSize=50311

LAYER=LAYER=36 / layers=129  idx=46438 / solSize=50311
 / layers=129  idx=16691129115 / solSize=50311
  idx=LAYER= / layers=LAYER= / layers=129  idx=10658 / solSize=50311
LAYER=123 / layers=64129 / layers=24410  idx=1299036311129LAYER= / layers=129  idx=25762 / solSize= / solSize=105  idx=  idx= / layers=49532611212950311
 / solSize=LAYER=107 / layers=129  idx=16226 / solSize=50311
LAYER=67 / layers=  idx=38049 / solSize=12950311 / solSize=1748850311 / solSize=50311
 / solSize=
LAYER=50311102
  idx=50311LAYER=85 / layers=129  idx=28829 / solSize=50311
LAYER=121 / layers=129  idx=634736680LAYER= / layers= / solSize=50311

73129LAYER= / layers=LAYER=50311129
 / solSize=
LAYER=50311
  idx=100LAYER=LAYER=47 / layers=12919027  idx=  idx=8843572 / solSize=50311
LAYER=46 / solSize=9434380 / layers=73 / layers= / layers=129129  idx=23648 / layers=129 / solSize=129  idx=50311
50311 / layers= / solSize=LAYER=
50311129  idx=34354 / solSize=50311
12227229 / layers=129  idx=LAYER=
LAYER=30 / layers=129  idx=47665 / solSize=50311
LAYER= / solSize=53120 / layers=129  idx=6821 / solSize=50311
LAYER=117 / layers=129  idx=41949LAYER=106 / layers=129  idx=16586 / solSize=50311
LAYER=44 / layers=129  idx=44626 / solSize=50311
LAYER=122 / layers=129  idx=5457 / solSize=50311
LAYER=92 / layers=129  idx=25167 / solSize=50311
LAYER=105 / layers=129  idx=17531 / solSize=50311
LAYER=94 / layers=129  idx=23939 / solSize=50311 / solSize=
LAYER=124 / layers=129  idx=4349 / solSize=50311
LAYER=72 / layers=129  idx=34917 / solSize=50311
LAYER=42 / layers=129  idx=45104 / solSize=50311
50311
LAYER=109 / layers=129  idx=14893 / solSize=50311
LAYER=54 / layers=LAYER=12983  idx= / layers=41466 / solSize=50311
LAYER=66 / layers=129  idx=37201 / solSize=50311
129  idx=9364 / layers= / solSize=129LAYER=5031140  idx=
 / layers=50311  idx=129
29856  idx=  idx=553243889 / solSize=LAYER=45441 / solSize= / solSize=1202049950311
LAYER=53 / layers=129LAYER= / solSize= / solSize=50311 / layers=
  idx=50311129  idx=7177 / solSize=50311
LAYER=84 / layers=129  idx=29302 / solSize=50311LAYER=
595031150311105
 / layers=129  idx=
39785 / solSize=
LAYER=LAYER=91 / layers=129  idx=25527 / solSize=50311 / layers=5031141736LAYER=129LAYER= / solSize=  idx=17506 / solSize=50311117 / layers=50311

129  idx=9041 / solSize=50311LAYER=LAYER=113 / layers=129  idx=12175 / solSize=50311
79LAYER=123 / layers=89 / layers=129  idx=26706 / solSize=50311
127


LAYER= / layers=129129LAYER=LAYER=37  idx= / layers=  idx=100 / layers=200912939LAYER=5020  idx= / layers= / solSize=5031186 / layers=129 / solSize=46144  idx= / layers=
50311 / solSize=12931353
  idx= / solSize=LAYER=80 / layers=129129LAYER=5031145801121 / layers=129  idx=6423 / solSize=5031150311
LAYER=105 / layers=129  idx=17414 / solSize=12950311

LAYER=39 / layers=129  idx=45661 / solSize=  idx=
  idx=LAYER=  idx=31282 / solSize=50311
LAYER=56 / layers=171292797520359 / layers=129  idx=49437 / solSize=50311
LAYER=55 / layers=129  idx=41399 / solSize=50311
LAYER=43 / layers=129  idx=44770 / solSize=50311
LAYER=103 / layers=129  idx=18429 / solSize=LAYER= / solSize=50311 / solSize=5031112350311  idx= / layers=129 / solSize=50311

40893LAYER=
 / solSize=50311
50311LAYER=113  idx=57LAYER=LAYER=
 / layers=1125240LAYER=
1296 / layers= / solSize=89129 / layers=50311  idx= / layers=12912577
 / layers=  idx=LAYER=129129 / solSize=  idx=  idx=1205850211LAYER=4049648  idx=115 / layers=129  idx=43505 / solSize=50311
 / solSize=26514 / layers=129  idx=10487 / solSize= / solSize= / solSize= / solSize=50311503115031150311

LAYER=108 / layers=129  idx=15111 / solSize=50311
LAYER=55 / layers=

50311LAYER=LAYER=LAYER=LAYER=
98LAYER=41 / layers=129  idx=45169 / solSize=50311
98 / layers=129  idx=LAYER= / layers=2153212940715031112961 / layers= / solSize= / layers=12950311
  idx=
LAYER=58 / layers=129  idx=40247 / solSize=35228LAYER=129 / solSize=50311
LAYER=124 / layers=129  idx=4516 / solSize=50311
LAYER=78 / layers=129  idx=32105 / solSize=50311
LAYER=113 / layers=129  idx=12315 / solSize=50311
LAYER=81 / layers=129  idx=30731108 / solSize= / layers=  idx=  idx=39108 / solSize=50311
LAYER= / layers=5031150311  idx=127 / layers=

129129LAYER=  idx=  idx=45609 / solSize=503111299541381LAYER=21419  idx=94 / solSize=186715242 / layers=
50311
 / solSize=LAYER=50311
LAYER=82 / layers=129  idx=29934 / solSize=50311 / solSize=129
 / layers=50311125129 / layers=LAYER=66 / layers=  idx=23706 / solSize=50311
LAYER=126 / layers=129  idx=2914 / solSize= / solSize=129LAYER=
503115031169LAYER=
 / layers=
79  idx=LAYER=71 / layers=129  idx=12923395129 / layers=  idx=  idx=3606812935036 / solSize=  idx=308731761 / solSize=LAYER= / solSize= / solSize=97 / layers=129  idx=22347 / solSize=50311
LAYER= / solSize=503115031150311
LAYER=57 / layers=129  idx=97
 / layers=  idx=
LAYER=78129  idx=22314 / solSize=5031137292
50311 / layers=50311 / solSize=50311


LAYER=LAYER=129LAYER=  idx=32254 / solSize=50311
56 / layers=129  idx=40949 / solSize=50311
LAYER=97 / layers=116 / layers=129  idx=LAYER=983012328 / layers=129  idx=129 / solSize=  idx=40630LAYER=50311
LAYER=66 / layers=22337 / layers=111 / layers=129  idx=13403 / solSize=50311
 / solSize= / solSize=129LAYER=  idx=4981 / solSize=50311
3750311 / layers=LAYER=1294796212959 / layers=  idx=46242 / solSize= / solSize=50311LAYER=
5031152  idx=

37433LAYER=LAYER=5031162 / solSize=28 / layers=
LAYER=95 / layers=129  idx=23046 / solSize=50311
LAYER=112 / layers=129  idx=12677 / solSize=50311
 / layers=12950311LAYER=129  idx=47881 / solSize=50311
LAYER=38 / layers=129  idx=45955 / solSize=50311  idx=113129
 / layers=LAYER= / layers=LAYER=64
39915 / layers=129LAYER= / solSize=  idx=11689 / solSize=50311
LAYER=5151 / layers=129  idx=42648 / solSize=  idx=50311
LAYER=49 / layers=129  idx=43153 / solSize=50311
LAYER=94 / layers=129  idx=503113873923758 / solSize=50311
LAYER=46 / layers=129  idx=
 / layers=12943926 / solSize=50311
LAYER=118 / layers=129  idx=8640 / solSize=50311
118 / solSize=LAYER=129 / layers=50311
LAYER=64 / layers=129  idx=37961 / solSize=50311
LAYER=127 / layers=  idx=129105129  idx=1653 / solSize=  idx=5031142597
  idx= / layers=LAYER=129LAYER= / solSize=42233503111218570 / solSize=50311
LAYER=75 / layers=129  idx=33515 / solSize=50311
LAYER=95 / layers=129  idx=
23229 / solSize=  idx=93 / solSize=50311
12938138 / layers=  idx= / layers=LAYER=129129  idx=24113 / solSize=50311
LAYER=103 / layers=129  idx=18259 / solSize=50311
LAYER=LAYER=123  idx= / solSize=170411125031150311
 / solSize=LAYER=
LAYER=80127 / layers= / layers= / layers=629012912990  idx=  idx=50311 / layers=129473112957
  idx= / solSize= / solSize=129LAYER=  idx=503113650311
215631294 / solSize= / solSize=
50311
50311LAYER=34 / layers=129  idx=46770 / solSize=50311
 / layers=
LAYER=129  idx=46395 / solSize=50311
65 / layers=129LAYER=LAYER=LAYER=  idx= / solSize=86LAYER= / layers= / layers=129489937679101 / layers=  idx= / layers= / solSize=12950311129  idx=19468 / solSize=50311 / layers=

LAYER=85 / layers=129  idx=28576 / solSize=2613412950311 / solSize=50311
LAYER=LAYER=  idx=  idx=5031112946
 / layers=28164 / solSize=50311
LAYER=32 / layers=129  idx=129
4715743494  idx= / solSize= / solSize=50311  idx=50311
43986LAYER=
LAYER=124 / solSize=71 / layers=503117920826 / layers=LAYER=
LAYER=61LAYER= / solSize=69 / layers= / layers=7112912950311  idx=  idx=
 / layers=35021129 / layers=LAYER=84 / layers= / solSize=12912912950311  idx=
12929094  idx=35020 / solSize=50311
LAYER=65 / layers=129  idx=  idx=4258 / solSize=50311
37657 / solSize=35954LAYER=102 / layers=129  idx=18839 / solSize=50311
LAYER=119 / layers= / solSize=  idx= / solSize=5031131545  idx=50311
LAYER=73 / layers=129  idx=34431 / solSize=LAYER= / solSize=503115031150311129


  idx=7918 / solSize=50311
LAYER=LAYER=3906946113LAYER=116 / layers=129
 / layers=129  idx=11977 / solSize=50311
LAYER=118 / solSize=LAYER=35 / layers=129  idx=46637 / solSize= / layers=LAYER=50311 / layers=128
12934 / layers=LAYER=  idx=44062 / solSize=50311
LAYER=275031112991 / layers=129  idx=25505 / solSize=50311129
LAYER=109 / layers= / layers=129129  idx=  idx=  idx=  idx=8616 / solSize=50311

14939LAYER= / solSize=5031146806LAYER=24 / layers= / solSize=  idx=76 / layers=129  idx=4852610108 / layers=1204 / solSize=50311
LAYER=117 / layers=129  idx=
129129503119348  idx=
 / solSize=  idx=LAYER= / solSize=50311
 / solSize=3308450311
48043LAYER= / solSize=50311
LAYER=LAYER=115 / layers= / solSize=12975126LAYER=  idx= / layers=129  idx=2364 / solSize= / layers=129  idx=33555 / solSize=50311
LAYER=44 / layers=129  idx=44430 / solSize=50311
LAYER=128 / layers=129  idx=1502 / solSize=50311951032449 / layers=50311 / layers=
50311 / solSize=129129  idx=LAYER=  idx=233315031193
43230

 / solSize=LAYER=113 / layers=129  idx=11965 / solSize=50311
LAYER=111 / layers=129  idx=50311LAYER=
50311LAYER= / layers=
66LAYER=129  idx=24379 / solSize= / layers=8913545 / solSize=50311129 / layers=129  idx=26700 / solSize=50311 / solSize=50311  idx=LAYER=50311

12
115LAYER=LAYER=17 / layers=129  idx=49424 / solSize=50311
LAYER=103 / layers=129  idx=18228 / solSize=50311
LAYER=104 / layers=129  idx=17954 / solSize=50311
37284LAYER=LAYER=93
 / solSize=50311
LAYER= / layers=75125 / layers=52129  idx=33641 / solSize=129 / layers= / layers= / layers=LAYER=  idx=24340 / solSize=50311
LAYER=105 / layers=129  idx=16922 / solSize=50311
LAYER=86 / layers=129  idx=28085 / solSize=50311
LAYER=96 / layers=129  idx=22419 / solSize=50311
LAYER=36 / layers=129  idx=46519 / solSize=50311
LAYER=83 / layers=129  idx=29451 / solSize=50311
LAYER=113 / layers=129  idx=12038 / solSize=50311
 / layers=129  idx=49886 / solSize=50311
LAYER=34 / layers=129  idx=46841 / solSize=50311
LAYER=61 / layers=129  idx=39037 / solSize=50311
LAYER=85 / layers=129  idx=28584 / solSize=50311
LAYER=55 / layers=129  idx=41101 / solSize=50311
LAYER=105 / layers=129  idx=16941 / solSize=50311
LAYER=110 / layers=129  idx=14070 / solSize=50311
LAYER=77 / layers=129129  idx=32607 / solSize=50311
LAYER=102 / layers=129  idx=  idx=19209 / solSize=50311
LAYER=114 / layers=129  idx=11307 / solSize=12912911250311  idx=42207
LAYER=LAYER=100 / layers=129  idx=129  idx=20566 / solSize=50311
LAYER= / solSize=35306150311 / layers=10933 / solSize=50311

LAYER=LAYER=94 / layers=129  idx=50311 / layers=2390986129 / layers= / layers=129  idx=129
28095LAYER= / solSize=  idx= / solSize=19 / layers=129  idx=49205 / solSize=5031150311129 / solSize=12809
LAYER=111  idx= / layers=50311  idx=46709 / solSize=50311
LAYER=34 / layers=129  idx=46912 / solSize=50311
LAYER=87 / layers=129  idx=
1292734550311LAYER= / solSize=  idx=176
 / solSize= / solSize=50311
LAYER=121 / layers=129  idx=1216253 / solSize=50311LAYER=50311 / layers=13535

77129 / solSize=LAYER=
 / layers=117LAYER=  idx=12950311106 / layers=129  idx=665216504 / solSize=50311
  idx= / solSize=
LAYER=32639 / layers=1225031150311129  idx=9039 / solSize=50311
LAYER=
 / solSize=114LAYER=LAYER=
124101LAYER=LAYER= / layers= / layers=129  idx=7610997 / layers=129  idx=129 / solSize=50311
  idx=32811LAYER=5819 / solSize=5031187 / solSize=
 / layers=LAYER=51 / layers=129  idx=42365 / solSize=5031150311
LAYER=114 / layers=12950311 / layers=  idx=11317 / solSize=50311
LAYER=105 / layers=129
127 / layers=129  idx=LAYER=  idx= / layers=129
19523129LAYER=  idx= / solSize=129120174024244 / layers= / solSize=93 / solSize=  idx=  idx=5031150311
2001
27532 / solSize= / layers= / solSize=LAYER=50311LAYER=129122 / layers=129  idx=5948 / solSize=50311

LAYER=50311  idx=LAYER=31 / layers=129  idx=47352 / solSize=12650311
56 / layers= / layers=129
129  idx=2619 / solSize=50311129746550311LAYER=
 / solSize=76 / layers=129  idx=32923 / solSize=LAYER=  idx=50311110 / layers=129  idx=13876 / solSize=50311
  idx=
LAYER=97 / layers=129  idx=50311
24546LAYER=40976
61 / layers=LAYER=LAYER=22139 / solSize=LAYER=1292925 / layers=129  idx=48447 / solSize=5031111050311  idx= / solSize=39063 / layers=
50311
LAYER=114 / layers=129  idx=11608 / solSize=50311
LAYER=94 / layers=129  idx=23766 / solSize=50311
LAYER=60 / layers=129  idx= / layers= / solSize=LAYER=63 / layers=129  idx=1293848512950311 / solSize=  idx=47772  idx=
50311
LAYER=39548
14177 / solSize= / solSize=50311
LAYER=19 / layers=LAYER= / solSize=129110 / layers=50311
50311LAYER=  idx=
129LAYER=  idx=8465 / layers= / solSize=431420949267 / layers=50311 / layers=LAYER=129104 / layers=129  idx= / solSize=129  idx=
50311
LAYER=91 / layers=129  idx=1291799737825  idx=  idx= / solSize=50311
LAYER=2520544800 / solSize=29296101 / solSize= / layers=50311LAYER=50311
 / solSize=LAYER=50311 / solSize=

50311LAYER=LAYER=120 / layers=129  idx=95
 / solSize= / layers=129  idx=233936788 / solSize=1291095850311 / solSize= / layers=
50311
LAYER=LAYER= / layers=  idx=5119419LAYER=129129 / layers=129  idx=42524 / solSize=50311
LAYER=50 / layers=11112950311 / layers=129  idx=13130 / solSize=50311
LAYER=  idx=  idx= / solSize=  idx=
40326144204288164LAYER=110 / layers= / solSize= / layers=129  idx=129245031150311 / layers= / solSize=129  idx=48599 / solSize=50311

50311
LAYER=83 / layers=129 / solSize=  idx=50311  idx=LAYER=1411629802
LAYER=57LAYER=119 / layers= / solSize=
91 / layers=129  idx=40495 / solSize=50311
LAYER=50311 / solSize=37982129
 / solSize=50311LAYER=  idx=503119798 / layers= / layers=129  idx=21794 / solSize=50311

LAYER=
7849129  idx=25725 / solSize=LAYER=116 / layers=129  idx=10003 / solSize=50311
57 / layers=129  idx=LAYER= / solSize=40491LAYER=50311 / layers=50311
119129LAYER= / layers=129  idx=8083 / solSize=115125 / layers=129  idx=3803 / solSize=50311

  idx=LAYER= / solSize=21630LAYER=121LAYER= / layers= / layers=50311129  idx=1067950311126
LAYER=98 / layers=129  idx= / solSize=
 / solSize=5031112950311LAYER=91 / layers=129  idx=25233 / solSize=50311
LAYER=88 / layers=129  idx=26962 / solSize=50311
 / layers=  idx=
2139448LAYER=6438129  idx=LAYER=2491 / solSize=50311
LAYER=69 / layers=129  idx=36004 / solSize=50311
 / solSize=LAYER=120 / layers=129  idx=7156 / solSize=50311
LAYER=85 / layers=129  idx=28740 / solSize=50311
LAYER=92 / layers=129  idx= / solSize=5031135 / layers=50311


52LAYER=82 / layers=129  idx=30072 / solSize=50311
24839LAYER= / solSize=50311129 / layers=84LAYER=  idx=
 / layers=129  idx=29107 / solSize=50311
LAYER=57 / layers=LAYER=LAYER=119 / layers=1291294344395 / layers=129  idx= / layers=9022954 / solSize=50311
LAYER=56 / layers=129  idx=  idx=129 / layers= / solSize=  idx=12950311  idx=7645  idx=25862 / solSize=50311129 / solSize=42193
  idx= / solSize=40592 / solSize=5031150311

LAYER=77LAYER=40798LAYER=46531 / solSize=50311
LAYER=38 / layers=129  idx=120 / layers=129107 / layers=46019  idx=50311
6836 / solSize=12950311
LAYER=94 / layers=129  idx=23879 / solSize=50311

 / solSize=LAYER=  idx= / layers=50311
112 / layers=129  idx=12564 / solSize=LAYER=32425 / solSize=50311
LAYER=68 / solSize= / layers=50311LAYER=129129
82LAYER=LAYER=56 / layers=129  idx=40787 / solSize=50311
  idx= / layers=LAYER=15989 / solSize=50311
8198 / layers=  idx=55LAYER=50311129
 / layers= / layers=76LAYER=129 / layers=129129  idx=36492  idx= / solSize=129  idx=12930483 / solSize=5031150311  idx=  idx=
41383
 / layers=LAYER=59 / layers=129  idx=40035 / solSize=50311
21634LAYER=117 / layers=129  idx=LAYER= / solSize=129119 / layers=129  idx=8004 / solSize=50311
5031129939  idx=247 / solSize=50311
LAYER=52 / layers= / solSize=50311329009239 / solSize= / solSize= / solSize=
50311LAYER=129LAYER=
  idx=42157 / solSize=50311
91LAYER=
5031160 / layers=129  idx=LAYER=
91 / layers=129  idx=25567 / solSize=50311
104 / layers=LAYER=50311LAYER=57 / layers= / layers=129129  idx=12940612 / solSize=
25679LAYER= / solSize=LAYER=  idx=98 / layers=129  idx=21747 / solSize=50311
29LAYER=47 / layers=129  idx=43717 / solSize=50311
LAYER=95 / layers=129  idx=23452 / solSize=50311
LAYER=107 / layers=129  idx=15891 / solSize=50311
  idx=85LAYER=17941 / layers= / solSize=50311 / layers=12939393
50311 / solSize=129  idx=
  idx=LAYER=102 / layers=1295031112728430 / layers=129LAYER= / solSize=50311
  idx=47867
1984  idx=LAYER=1896150311 / solSize= / solSize=8950311126
LAYER=70 / layers=50311 / solSize=LAYER= / layers=50311 / layers=129129
LAYER=

LAYER=  idx=LAYER=89 / layers=1112664129  idx=14 / layers=129 / solSize=50311
26340 / layers= / solSize=115  idx=  idx=129 / layers=  idx=LAYER=2655435788129 / solSize=50311  idx= / solSize=5031112911750311
49744
LAYER=110 / layers=129  idx=13734 / solSize=50311
LAYER=124 / layers=129  idx=4442 / solSize=50311
  idx=LAYER=17 / layers=129  idx= / layers=LAYER=1087149480 / solSize=50311
114 / layers=129  idx=11016 / solSize= / solSize= / solSize=
12950311
LAYER=  idx=50311503118713177
 / layers=129
LAYER= / solSize=50311
LAYER=91 / layers=LAYER=891678 / solSize=129  idx=2519589 / layers= / solSize=50311  idx=LAYER=
12911427425  idx=LAYER= / solSize= / layers=121 / layers=129  idx=6725 / solSize=50311
LAYER=54 / layers=129  idx=41522 / solSize=50311
50311LAYER=95 / layers=129  idx=23002129
50311LAYER=LAYER= / layers=
LAYER=43 / layers=1293182993 / layers=12985129  idx=11040 / solSize=50311
LAYER=128 / layers=129  idx=796 / solSize=  idx= / solSize=50311
 / solSize=  idx=LAYER=50311
59LAYER=4475850311
  idx= / solSize=50311
LAYER=86 / layers=129  idx=27903 / solSize=LAYER= / layers=[MESH] Max bdr attr: 24265 / layers=2680834129 / solSize=50311
1129
50311 / layers=  idx=  idx=
 / solSize=  attr 1233970512950311LAYER=1 / solSize=50311  idx=28640 :  / layers=129  idx=4987 / solSize=50311
LAYER=94 / layers=129  idx=24044 / solSize=50311
LAYER=87 / layers=129  idx=27743 / solSize=50311
LAYER=103 / layers=129  idx=18497 / solSize=50311
LAYER=118 / layers=129  idx=8211 / solSize=50311
LAYER=118 / layers=129  idx=8572 / solSize=50311
LAYER=12 / layers=129  idx=49879 / solSize=50311
LAYER=92 / layers=129  idx=24880 / solSize=50311
LAYER=67 / layers=129  idx=36981 / solSize=50311
380LAYER=67 / layers=129  idx=36925 / solSize=50311
LAYER=62 / layers=129  idx=38617 / solSize=50311
LAYER=111 / layers=129  idx=13229 / solSize=50311
LAYER=120 / layers=129  idx=7328 bdr elements
 / solSize=50311
[BC] ess_tdof_list size = 402
LAYER=124 / layers=129  idx=3936 / solSize=50311
LAYER=60 / layers=129  idx=LAYER=39642121 / layers=129  idx=6028 / solSize=4950311LAYER=
4690490 / layers=129  idx=26172 / solSize=50311

LAYER=LAYER=LAYER=112 / layers=129  idx=12465 / solSize=50311
LAYER=87 / solSize= / solSize=
85 / layers= / solSize=LAYER=128 / layers=50311129 / layers=50311
  idx=
50311 / layers=43189 / solSize=50311
LAYER=93 / layers=129  idx=
81LAYER=LAYER=129LAYER=117 / layers=88 / layers=12912985  idx=  idx=27724 / solSize=50311
LAYER=85 / layers=129  idx=28458 / solSize=50311
LAYER=65 / layers=129  idx=89137536 / solSize=50311
24155LAYER=129129107  idx= / solSize= / layers=129  idx=16280 / solSize=50311
 / layers=LAYER=66 / layers=129  idx=37182 / solSize=50311
50311
LAYER=118 / layers=129  idx=8184 / solSize=50311
 / layers=129  idx=30604 / solSize=50311
  idx=LAYER=  idx=LAYER=71 / layers=129  idx=35064 / solSize=50311129
28453 / solSize=  idx=28736 / solSize=50311
LAYER=116LAYER= / solSize=80 / layers=129  idx=50311LAYER=
 / layers=LAYER=12 / layers=129  idx=26867930064 / layers=129  idx=38210 / solSize=50311
LAYER=54 / layers=49857 / solSize=129  idx=41665 / solSize=129 / solSize= / solSize=50311  idx=5031150311
1025450311
3127349LAYER=99 / layers=129  idx=21019 / solSize=50311

 / solSize=LAYER= / solSize=635031150311LAYER=
9850311
 / layers= / layers=129  idx=21416 / solSize=50311
LAYER=LAYER=106 / layers=129  idx=16797 / solSize=50311
LAYER=121 / layers=
129LAYER=  idx=129LAYER=76 / layers=129  idx=33194 / solSize=50311
LAYER=60 / layers=129  idx=39364 / solSize=38512LAYER=113 / solSize=50311

112119LAYER=54 / layers=129  idx=41687 / solSize= / layers=LAYER=50311 / layers=12974
  idx= / layers=LAYER=40 / layers=503116406129129
  idx= / layers=LAYER= / layers=  idx=43115 / solSize=50311
LAYER=  idx=67 / solSize=129  idx=45470 / solSize=50311
LAYER=128 / layers=129  idx=1289 / solSize=50311
1297797 / layers=129  idx= / solSize=LAYER=5031112414
129116129 / layers=LAYER= / layers=  idx=5031133969129 / solSize=  idx=
LAYER=52 / layers=129  idx=42067 / solSize=50311
LAYER=35 / solSize=129  idx= / layers=50311  idx=129  idx=46565 / solSize=50311
9596
50311LAYER=11748072 / solSize=LAYER= / solSize=5250311
 / layers=50311

 / layers=36717LAYER=129  idx=34816 / solSize=LAYER= / solSize=50311
129 / layers=129  idx=97 / solSize=LAYER=503111298912637 / layers=129
  idx= / solSize=LAYER=LAYER=26625 / solSize=50311
 / layers=36LAYER=1293550311 / layers=129  idx=46451 / solSize=50311
129LAYER=  idx=
  idx=2781 / layers=5031178 / layers=
129  idx=46546 / solSize=50311
LAYER=LAYER=9742216104 / layers= / solSize=LAYER=94 / layers=129  idx= / layers=129  idx=194 / solSize=50311
 / layers= / layers=129  idx=18147 / solSize=50311
23605LAYER=129 / solSize=3950311 / layers=129  idx=45720 / solSize=  idx=
5031112950311LAYER=129  idx= / solSize=LAYER=  idx=3205250311
4622512913 / layers=129  idx=49830 / solSize=50311

LAYER= / solSize= / layers=22099 / solSize=50311
LAYER=95 / layers=12965 / layers=129LAYER=50311
LAYER=126 / layers=129  idx=2850 / solSize=
LAYER=  idx=105LAYER=  idx=20 / layers= / layers=2341784290 / solSize=129 / solSize=50311
LAYER=104 / layers=129129  idx=129  idx=  idx= / layers=50311  idx=37781 / solSize=50311
18055 / solSize=5031117480129  idx=29246 / solSize=50311
LAYER=5031149136 / solSize= / solSize=113
50311
LAYER=50311

 / solSize=
LAYER=129 / layers=LAYER=50311129129
88LAYER=117LAYER=  idx= / layers=387129 / layers=  idx= / layers=LAYER=129  idx=0 / solSize=50311
LAYER=129 / layers=27023129  idx=11720 / solSize=50311
LAYER=85 / layers=129104129 / solSize=  idx= / layers=  idx= / layers=28619 / solSize=1299712950311  idx= / solSize=LAYER=
 / solSize=50311
LAYER=129 / layers=129  idx=194 / solSize=50311956659 / layers=LAYER=129  idx=20 / solSize=5031150311  idx=1793350311
LAYER=41 / layers=129  idx=45212 / solSize=50311


74 / layers=LAYER=LAYER=95 / layers=129  idx=23468 / solSize= / layers=50311
129 / layers=LAYER=LAYER=129129  idx=33892 / solSize= / solSize=751298550311  idx= / layers=129  idx=33270 / solSize=50311

290LAYER=50311 / layers= / solSize=97 / layers=129  idx=22045 / solSize=50311
LAYER=112129
LAYER=84 / layers=129  idx= / layers=LAYER=  idx=  idx=29112 / solSize=50311
50311129  idx=39845
12505 / solSize=28532 / solSize=
 / solSize=50311490785031150311
LAYER=32 / layers=129  idx= / solSize=47320LAYER= / solSize=50311129 / layers=
129
50311
  idx=129LAYER=LAYER=LAYER=118 / layers=129  idx=8636 / solSize= / layers=104LAYER=5031112977120 / layers=129  idx=7386 / solSize=
LAYER= / layers=129
  idx= / layers=50311
