[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=10 / layers=129  idx=50003 / solSize=50311
89129  idx=1003058  idx=83 / layers=129  idx=29474 / solSize=50311
LAYER=50311  idx=
LAYER=89 / layers=129  idx=26329 / solSize=50311
LAYER=116 / layers=62LAYER=123 / layers=129  idx=5196129 / layers=  idx=
5031111514104 / solSize=5031180
LAYER=77 / layers=129  idx=32468 / solSize=50311
LAYER=80460227738 / solSize=50311
 / solSize=  idx=129  idx=15405 / solSize=50311
LAYER=117 / solSize=129  idx=17475 / solSize=50311
LAYER=7 / layers=129  idx=50172 / solSize=50311
LAYER=87 / layers=129  idx=27615 / solSize=50311
LAYER=28 / layers=129  idx=47967 / solSize=50311
LAYER=108 / layers=129  idx=15131 / solSize=50311
LAYER=60 / layers=129  idx=39417 / solSize=50311
LAYER=110 / layers=129  idx=14201 / solSize=50311
LAYER= / layers=120 / layers=129  idx=7029 / solSize=50311
129LAYER=  idx= / layers=265574478912984 / solSize=50311
LAYER= / layers=116 / layers=129129 / solSize=9012129  idx=38650 / solSize=
50311
LAYER= / layers= / solSize=50311
  idx=LAYER=50311 / layers=112 / layers=129LAYER=LAYER=
34238 / solSize=50311
  idx=
129  idx=31313 / solSize=50311
12308  idx=  idx=10150311LAYER=LAYER=99 / layers=129  idx=21000 / solSize=50311
LAYER=122 / layers=129  idx= / layers=
129 / solSize=50311
1060216467LAYER=LAYER=LAYER= / solSize=
126 / layers=129  idx=575045949129  idx=LAYER=31211 / layers=5031150311107 / layers=129  idx=15871 / solSize= / solSize=50311  idx= / layers=119 / solSize=3042 / solSize=50311
  idx= / layers= / solSize=50311LAYER=129  idx=12350311891239822 / solSize=LAYER=12972  idx=19686 / solSize= / solSize=12880
50311123 / layers=129  idx=4846 / layers=
 / layers=  idx=50311 / layers= / solSize=50311503119092 / layers=50311LAYER=LAYER= / layers= / solSize= / solSize=
129129  idx=9734 / solSize=50311


 / solSize=50311
LAYER=129
129  idx=34800 / solSize=50311
38LAYER=

LAYER=50311 / solSize=LAYER=
50311LAYER=69 / layers=50311LAYER=
 / layers=LAYER=86 / layers=129  idx=28357 / solSize=50311
  idx=LAYER=129LAYER=118 / layers=129  idx=8538 / solSize=50311
LAYER=50311125 / layers=129  idx=3319 / solSize=50311

503117737129129  idx=8556127  idx=26389 / solSize=114LAYER=89 / layers=12923 / layers=LAYER=
 / layers=  idx=LAYER=
29162 / solSize= / layers=LAYER=4911 / layers=129  idx=2261LAYER= / layers=129  idx=4595383LAYER=26 / layers=
LAYER=5031150311100 / layers=129  idx=20035 / solSize= / layers=50311
LAYER=117 / layers=129  idx=9165 / solSize=50311
129 / solSize=20464 / solSize=88LAYER= / layers=129 / layers=129  idx=253 / solSize=125 / layers=129105 / solSize=129  idx=
129 / solSize=50311
101 / layers=50311 / layers=  idx=4621  idx=46191 / solSize=50311
LAYER=LAYER= / layers=
50311
LAYER=50311LAYER=129 / layers=129  idx=
LAYER=88129 / layers=129  idx=129 / solSize=108 / layers=
LAYER=125LAYER=  idx=LAYER=1291293612427127  idx=45129129  idx=  idx= / layers= / layers=LAYER=78  idx=50311 / solSize=50311
40930LAYER=129  idx=5031128728 / solSize=50311
12926487  idx= / solSize=  idx=125 / layers=129  idx=7927  idx= / layers=LAYER=12997 / layers=129  idx=27048 / layers=1711294LAYER=503113745
102 / layers=129  idx=19305 / solSize=  idx= / solSize=50311
10784  idx=29448 / solSize= / solSize= / solSize=17109 / solSize=
 / solSize=50311
 / solSize=LAYER=LAYER=3534
 / layers=129 / layers=323125031115047 / solSize=129LAYER=835031150311
3374129 / solSize=81LAYER=70 / layers=129  idx=35733129
 / solSize=  idx=31924 / solSize=50311
 / solSize=50311LAYER= / layers=
  idx= / layers=129  idx=  idx=LAYER=  idx=48338 / solSize=5031148778LAYER=50311 / layers=
129129  idx=337633844268 / solSize=50311
LAYER=57 / layers=129  idx=40561 / solSize=50311
  idx= / layers=79 / layers=3303
 / layers= / layers=  idx=159642192950311
1947050311LAYER=73 / layers=129  idx=34323 / solSize=5031129252129 / solSize=LAYER=119 / layers=129  idx=8039 / solSize=129LAYER=49414 / solSize=129
LAYER= / solSize=50311
LAYER=23 / layers=
12950311503115031150311
LAYER=68 / layers=129 / solSize= / solSize=  idx=29396LAYER= / solSize=12975  idx=  idx=50311
  idx=
LAYER=66 / layers=50311 / solSize=5031150311
 / layers=LAYER=

129 / solSize=
30572 / layers=
50311

50311
LAYER=98 / layers=129  idx=21751 / solSize=5031146968LAYER=68 / layers=129  idx=36600 / solSize=50311
LAYER=89 / layers=129  idx=26758 / solSize=LAYER=LAYER=111 / layers=129  idx=114LAYER= / solSize=50311129LAYER=
31590LAYER=LAYER=12950311101 / layers=129  idx=19892 / solSize=13448 / solSize=50311
  idx=LAYER=62 / layers=129  idx=38902 / solSize=50311
 / layers=129  idx=11280 / solSize=50311
57LAYER=
  idx=110  idx=LAYER= / solSize=8850311  idx=
33557LAYER=LAYER=12950311
LAYER=111LAYER= / layers=129  idx=13273 / solSize=50311
LAYER=74 / layers=129  idx=33829 / solSize=50311
LAYER=LAYER=769 / solSize=50311
LAYER=84 / layers=129  idx=29087 / solSize=50311
48736 / layers= / solSize=LAYER= / layers=50311 / solSize=  idx=1167736310 / solSize=
125120 / layers= / solSize=50311
7899102 / layers=129  idx=18949 / solSize=50311
41129  idx=26852 / solSize=
LAYER=LAYER=  idx=120 / solSize=5031150311 / layers=129  idx=7178 / solSize=115129 / layers= / layers= / layers=LAYER= / layers=50311 / solSize=50311
LAYER=113 / layers=8646029 / solSize=
 / layers=46 / layers=129  idx=43978 / solSize=50311
LAYER=129  idx=3185 / solSize=50311 / layers=
129  idx=9881 / solSize= / layers=129  idx=45339 / solSize=50311
LAYER=129 / layers= / layers=50311
LAYER=129  idx=
3710550311
  idx=5031112950311
LAYER=83 / layers=129  idx=29575 / solSize=50311
LAYER=94 / layers=129  idx=23965 / solSize=50311
LAYER=65 / layers=129  idx=37458 / solSize=50311  idx=12272 / solSize=50311
129LAYER=12978129  idx=28156 / solSize=50311
LAYER=44 / layers=129  idx=44471 / solSize=59LAYER=
14134 / solSize=50311

LAYER=
  idx=32080 / solSize=129LAYER=24 / layers=129  idx=4862479
  idx=LAYER=675273 / layers=503114551LAYER=LAYER=32605 / solSize=50311LAYER=LAYER= / layers=129129  idx=124LAYER=
LAYER=50311 / layers=123 / solSize=12350311LAYER= / solSize=  idx= / layers=  idx=LAYER= / layers=129  idx=120 / layers=10323116 / layers= / layers=50311129  idx=42566 / layers=129  idx=103
 / layers=129  idx=40666 / solSize=1089885 / layers=129  idx=28748 / solSize=50311
LAYER=114 / layers=129  idx=12968LAYER=129129  idx=
 / solSize=451050311 / layers=
5031121138LAYER=31673 / solSize=50311
LAYER=39 / layers=129  idx= / layers= / solSize= / layers=  idx=  idx=4581129

1294563362 / layers=129  idx=38803 / solSize=50311
LAYER=43 / layers=129129  idx=18261 / solSize=50311
  idx=LAYER=94 / layers=129  idx=23697 / solSize=486785214 / solSize=129 / solSize=  idx=34424  idx=
LAYER=44358 / solSize=50311
LAYER=48 / layers=129  idx=50311 / solSize=50311
50311 / solSize=  idx=1291095031150311
 / layers= / solSize=31874 / solSize=50311
LAYER=LAYER=  idx=11273LAYER=9450311
36597  idx=39864 / layers=50311433676650311LAYER= / solSize= / layers=84
 / layers=44700LAYER=
 / solSize= / solSize=50311129LAYER= / layers=129  idx=37172 / solSize=50311
LAYER=
100
LAYER= / layers=129
129 / solSize=12892 / solSize=50311
LAYER=129  idx=10232 / solSize=50311
LAYER=68 / layers=129  idx=36458 / solSize=53LAYER=50311LAYER=104 / layers=129  idx=17791 / solSize=50311
LAYER=LAYER=LAYER= / layers= / solSize=18791127129
50311 / layers=121 / layers=LAYER= / solSize=  idx=50311122 / layers=6650311 / layers=129LAYER=  idx=117129 / layers=
129 / solSize=50311
LAYER=108 / layers=129  idx=15304 / solSize=50311
LAYER=113 / layers=129  idx=11779 / solSize= / layers=129 / layers=29076LAYER=129
  idx=1501 / solSize=50311
93 / layers=129  idx=23693  idx=41852110515031150311
12912975 / layers=  idx=129  idx=33493 / solSize=50311
 / layers=LAYER=2437710312950311 / solSize=50311
 / solSize=  idx= / layers=
129 / layers=  idx= / solSize=  idx=LAYER= / solSize=129  idx=LAYER= / solSize= / layers=129LAYER=  idx=6343  idx=129  idx=585359 / layers=129  idx=39892 / solSize=50311
 / layers=
5031150311129  idx=42379 / solSize=50311

LAYER=84 / layers=  idx=115 / solSize=936850311LAYER=129LAYER= / solSize=
3730056
LAYER=
LAYER=116 / layers=129  idx=9735 / solSize=50311
24766 / solSize=LAYER=7117LAYER=22 / solSize=
LAYER=1446310320560 / solSize=180750311
LAYER=81 / layers=129  idx=30753 / solSize=50311
  idx=124 / layers= / layers=  idx=72 / layers=129  idx=34893 / solSize=50311
LAYER=80 / layers=129  idx=30999 / solSize=50311
LAYER=26 / layers=129 / layers=  idx=50311  idx=81 / solSize= / solSize=50311 / solSize=13765 / solSize=50311
LAYER=961290 / solSize=LAYER=LAYER= / layers=129  idx=48883 / solSize=50311
LAYER=18188 / layers=50311
LAYER=LAYER=99 / layers=129  idx=50311
503114911912950311102129 / layers=129  idx=18802 / solSize=5031150311
20956126LAYER=LAYER= / solSize=12948212

 / layers= / solSize=

61LAYER=101 / layers= / solSize= / layers=129  idx=811295031150311 / solSize=LAYER=
LAYER=50311LAYER= / layers= / layers= / layers=126  idx=50311LAYER=
50311

2957 / layers=104 / layers=  idx=
102129129  idx=422873
LAYER=81 / solSize=  idx=129  idx= / layers=129120129  idx=  idx=22544 / solSize=50311
10460 / solSize=  idx= / solSize=LAYER=LAYER= / layers=129  idx=30861 / solSize=50311LAYER=17599 / solSize=50311129129  idx=38986 / solSize=  idx=LAYER=LAYER=19470 / solSize=50311 / layers=50311114104 / layers=50311129
41055LAYER=  idx=30808 / solSize=50311
 / layers=50311
 / layers=  idx=83 / layers=129  idx=5031129196129  idx=34283 / solSize=50311
55
LAYER=LAYER= / layers=116 / solSize=129  idx=LAYER=5031129831

 / solSize=
 / layers=56 / layers=7978 / layers= / layers=129  idx=11283 / solSize=LAYER=183521297442 / solSize=50311
128LAYER=LAYER=432265031186129LAYER=122 / layers=129  idx=5532 / solSize=50311
 / solSize=LAYER=129113 / layers=50311 / solSize=  idx=
10911794 / layers=50311
 / layers= / solSize=129LAYER=  idx=12930817LAYER=14129 / layers= / layers=129
LAYER= / solSize=50311  idx=32
 / solSize=  idx=129 / layers=
1291298350311297040759 / solSize=50311
 / layers=LAYER= / layers=39 / layers=50311129  idx=12997 / solSize=50311
LAYER=LAYER=  idx=12950311LAYER= / layers=129  idx=
  idx=LAYER=  idx=129129  idx=50311  idx=1423
LAYER=LAYER=25 / layers=129  idx=48436 / solSize=50311 / layers=47
LAYER=80 / layers= / solSize=116  idx=12914893  idx=11976 / solSize=29686114 / layers=129 / solSize=923710855 / layers=2803698254135247266  idx=
 / solSize=50311
LAYER=119 / layers=129  idx=8152 / solSize=50311
LAYER=13 / layers=129  idx=49801 / solSize=129129 / solSize=50311

LAYER=93 / layers= / layers= / solSize=129  idx=41241 / solSize=50311
LAYER=127 / layers=129 / layers=50311 / solSize= / solSize=5031117948LAYER=  idx=49713
LAYER=LAYER=76 / layers=129  idx=50311 / solSize=129129
129  idx= / solSize= / layers=
  idx=50311LAYER=  idx= / solSize=  idx= / layers=50311
50311LAYER=  idx=118LAYER=21365031133121129  idx=9990 / solSize=50311
LAYER=21 / layers=129
50311LAYER=129100129  idx=43789 / solSize=50311LAYER=23526 / solSize=50311
LAYER=99105  idx=
 / solSize=50311
 / solSize=LAYER=12819453  idx=50311 / layers=1137690 / layers=129  idx=25795 / solSize=50311
101LAYER=59 / layers=129  idx=39952 / layers= / layers=LAYER=50311

 / layers=129  idx=26 / layers=129  idx=48271 / solSize=50311
LAYER=111 / layers= / layers= / solSize=50311LAYER=1545218919129 / layers= / layers=129  idx=
  idx=8 / layers=129  idx=50124 / solSize=50311
LAYER=110 / layers=129  idx=14040 / solSize=50311
  idx=LAYER=95 / layers=129  idx=23296 / solSize=50311
LAYER=78 / layers=129  idx=12945726 / solSize=5031157129 / solSize= / solSize=129 / solSize=31151  idx=1211
 / solSize=50311

LAYER=121

32174  idx=50311
LAYER=  idx=20447 / solSize=50311
129LAYER= / solSize=50311
LAYER= / layers=20838 / solSize=50311
50311LAYER= / solSize=LAYER=49024LAYER=LAYER=105 / layers=129  idx=17214 / solSize=24092129LAYER=65  idx=12963 / layers=129  idx=38462 / solSize=5031150311LAYER=LAYER= / solSize= / solSize= / solSize=114109 / layers=129  idx=41798 / solSize=50311

LAYER=121 / layers=129  idx=6443 / solSize=50311 / layers=87111 / layers=
  idx=8463

124 / layers=129  idx=5031150311
LAYER=49 / layers=129  idx=43077 / solSize=50311
LAYER= / layers=124
 / layers= / solSize=50311LAYER=LAYER=81 / layers=129  idx=30741 / solSize=  idx=  idx=LAYER=382750311  idx=1299476LAYER=LAYER=129  idx=27590 / solSize=50311
 / layers=
104 / layers=5031119883 / layers= / solSize=
1360314490 / solSize= / layers=9312912966 / layers=129  idx=5031150311129LAYER=63 / layers=129  idx=
129  idx=6210
LAYER=114 / layers=129  idx=11653129 / solSize= / solSize=LAYER=50311 / layers=  idx=4058737408

LAYER= / layers=LAYER=LAYER=123 / layers=129  idx=5144 / layers=129  idx=129290LAYER=171311291140212938324 / solSize=5031148 / layers=  idx=77129  idx=  idx= / solSize= / solSize=100  idx=
 / solSize= / solSize= / solSize= / solSize=
32982 / layers=  idx=23899376773990 / solSize=5031150311
 / solSize=17782 / solSize=503115031150311
LAYER=9212950311
LAYER=79 / layers=129  idx=125129  idx=32657 / solSize= / solSize= / solSize= / solSize=50311
  idx=  idx=
LAYER=50311 / solSize=50311 / solSize=5031150311LAYER= / layers=
  idx= / layers=LAYER=
50311LAYER=50311
LAYER=74 / layers=129LAYER=2418750311
LAYER=LAYER=

50311129
1175031143490 / solSize=50311
LAYER=98 / layers=LAYER=
1251322150311LAYER=3170711590124LAYER=89 / layers=129  idx=26596 / solSize=50311 / layers=129  idx=9100 / solSize=50311

LAYER=LAYER=125
 / solSize=50311 / layers=
41 / layers= / layers=LAYER=LAYER=12950311 / layers=97129  idx=LAYER=82 / layers=
129  idx=50311
LAYER=96 / layers=129  idx=22414 / solSize=50311
LAYER=106 / layers=129  idx=16677 / solSize=50311
LAYER= / layers=LAYER=69 / layers=129  idx=36002 / solSize=LAYER= / layers=129  idx=387 / solSize=50311 / solSize=1293378115129LAYER=  idx=33820
 / layers=12912912936  idx=45 / layers=129  idx=44337 / solSize=50311
LAYER=43 / layers=8550311
LAYER=129 / layers=129  idx=484 / solSize=50311
LAYER=102 / solSize=12950311
LAYER=2175450311
LAYER=129  idx=3187 / solSize=  idx=  idx=45258 / solSize=  idx=24677  idx= / layers=129 / layers=129  idx= / solSize=39 / solSize=88LAYER= / layers=  idx=5031125906 / solSize=50311

 / solSize=3711 / solSize=30081580
 / layers=
 / layers=50311
 / layers=LAYER=92 / layers=2153 / layers=503114074 / solSize= / layers=
129129129 / solSize=  idx=65 / layers=LAYER=50311 / layers=
5031112950311LAYER=50311  idx= / solSize=  idx=LAYER=129 / layers=9120594129
129LAYER=LAYER=
4483610150311 / layers=129LAYER= / layers=  idx=129 / solSize=LAYER= / solSize=1295031154 / layers=12912989 / layers=LAYER=38  idx=  idx=41820129  idx=50311  idx=

 / solSize=  idx=12945664 / solSize=
 / layers=  idx=  idx=1048733
LAYER=129 / layers=12949040
12950311
LAYER=50311LAYER=129  idx=LAYER=26320129  idx=50311
  idx=2714337446 / solSize=  idx=LAYER=100 / layers=129  idx= / solSize=LAYER=  idx=2524489
55 / solSize= / layers=  idx=4641422244 / solSize=41675 / solSize=50311
LAYER=24731  idx=46044 / solSize=19084 / solSize=5031173114 / layers=129  idx=10997 / solSize=6650311
LAYER=129 / layers=129  idx=41160 / solSize=11950311
30 / solSize= / layers=129  idx=50311 / solSize=50311
 / layers=28764 / solSize=50311
 / layers=LAYER=50311
  idx= / layers=LAYER=LAYER=50311
 / solSize=LAYER=116 / layers=129  idx=10125 / solSize=
LAYER=50311129  idx=47049 / solSize=50311
LAYER=129LAYER= / solSize= / solSize=50311
LAYER=59LAYER=
85129  idx=7649 / solSize=109095031111912550311  idx=26354 / solSize=50311
LAYER=75 / layers= / solSize=LAYER=4752880 / layers=129  idx= / layers=129  idx= / solSize=50311127
19564677
 / layers= / layers= / layers= / layers=129 / solSize=50311  idx= / layers= / layers=129  idx=1612 / solSize=50311
50311LAYER=59 / layers=129  idx=39757 / solSize=50311
 / solSize=LAYER=50311 / solSize=115
94129  idx=129129  idx=5031192LAYER=28395

LAYER=110110129  idx=7675 / solSize=50311
 / layers=129  idx=10551 / solSize=50311
LAYER= / layers=1293715530985LAYER=33485  idx=  idx=59 / solSize=
100 / layers=129
LAYER=LAYER=129 / solSize= / layers=5031139694 / solSize=50311
 / layers=129  idx=39805 / solSize=126 / layers= / layers=50311  idx=LAYER=69 / layers=129  idx=35876 / solSize=50311
LAYER=86 / layers=34471109LAYER=
50311

 / solSize=5031150311LAYER=5031120498129  idx=14245 / solSize=50311
LAYER=68 / layers=129  idx=36613 / solSize=50311
LAYER=17  idx= / solSize= / layers=12950311
LAYER=91LAYER=129  idx=

1413991 / layers= / layers=50311129129 / layers=86116LAYER=LAYER=LAYER= / layers=LAYER=3100 / solSize=  idx=  idx=  idx= / solSize= / layers=
 / layers=129129LAYER=
 / solSize=237765031128280 / solSize=50311

129 / solSize=5031192129  idx=10081 / solSize=50311
LAYER=64129  idx=117  idx= / solSize=101LAYER=LAYER=120 / layers=129  idx=7394 / solSize=50311
24968
  idx=20448  idx=49428 / solSize=50311
31LAYER=LAYER=1462033 / layers= / layers=
LAYER= / solSize=5031150311 / solSize=  idx=LAYER=119 / layers=Update boundaries129  idx=8094 / solSize=50311503112357LAYER=1292554227894

LAYER=86LAYER= / solSize=8550311 / solSize= / layers= / layers=  idx= / layers= / layers=1291296525466 / layers= / solSize=50311 / layers=129  idx=24810 / solSize=121129
 / solSize=
 / solSize=50311
129  idx=50311LAYER=105109
  idx= / layers=129  idx=50311 / layers=50311LAYER=LAYER=50311105
12947052 / solSize=50311
LAYER=63 / layers=129  idx=38520 / solSize=50311
LAYER=53 / layers=129  idx=41821 / solSize=50311
LAYER= / layers=129  idx=17047 / solSize= / layers=28578 / solSize=5031197UPDATE VOLTAGE START68
129
47
LAYER=76 / layers=129  idx=32818 / solSize=129 / layers=68  idx=129 / layers=LAYER=
50311 / layers=  idx=LAYER=64 / layers=129  idx=43770 / solSize=50311
LAYER=37 / layers=129  idx=46119 / solSize=50311
LAYER=66LAYER=6598  idx=9573 / solSize=
 / layers=129  idx=47502129111 / layers=129  idx=13594 / solSize=50311

129  idx=  idx=LAYER=116116 / layers=129  idx=9968 / solSize=LAYER=129
 / layers=129  idx=38068 / solSize= / solSize=31 / solSize=50311 / layers=129LAYER=50311  idx=[BC] updateElectrodeVoltage(0) V=5031150311
5031150311
01971550311  idx=37925129
100LAYER=91 / layers=129  idx=
25656LAYER=14557 / solSize=50311
LAYER=104 / layers=129  idx=18066 / solSize=50311

 / solSize= / layers=50311 / solSize= / solSize=50311
  idx=LAYER=960LAYER=  idx= / solSize= / layers=LAYER=LAYER=96 / layers=129  idx=22745 / solSize=50311
129LAYER=
12936296
LAYER=65 #verts= / layers=37108 / layers=50311
37616LAYER=60 / layers=129  idx=39567 / solSize=50311
88LAYER=129  idx=20225 / solSize=503117LAYER=  idx=LAYER=  idx= / layers=50
113 / layers=LAYER=1292810450311521269321948  idx=17398 / layers=
 / layers=129  idx=12069 / solSize=50311
 / solSize=128 / layers=129  idx=124 / solSize=[BC] solutionVector finite after write? 
50311 / layers=
 / layers= / solSize=36499 / solSize=129129  idx=129LAYER=50311
LAYER=75 / layers=129  idx=1343 / layers=50311LAYER=129 / layers=
 / layers=129LAYER=  idx=50311 / solSize=50311
LAYER=43 / layers=129  idx=  idx=2693950311
LAYER= / solSize=127 / layers=129  idx=33387 / solSize=50311 / layers=LAYER=129129LAYER=LAYER=98129237275 / solSize=37627 / solSize=50311  idx=2267 / solSize=12912975119 / layers=129  idx= / layers=  idx=24614 / solSize=50311

LAYER=83 / layers= / layers=129  idx=33251 / solSize=50311yes
LAYER=5031177 / layers=
129  idx=3261150311 / solSize=12950311
 / solSize=  idx=  idx=42208 / solSize=91 / layers=129LAYER=
 / solSize=
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(  idx=50311  idx=50311
50311 / layers=LAYER=129  idx=33515  idx=
9817 / solSize=50311
LAYER=72 / layers=12950311
473909744726123
3928LAYER=112 / layers=129  idx=12877 / solSize=50311
  idx=1 / solSize= / solSize=LAYER=77LAYER=129 / solSize=  idx=
 / layers=) V=LAYER=12050311129124 / layers=129  idx=111 / layers= / layers=50311 / solSize=LAYER=
12922801
21738 / layers=5031193-0.60481629581  idx= / solSize=129  idx=32722 / solSize=12950311121 / layers=129  idx=6284 / solSize=LAYER=LAYER=118 / layers=129  idx=4841 / solSize=50311
8130LAYER= / solSize=129
LAYER=48 / layers= / layers=  idx=
 / solSize=25605 / solSize=50311
LAYER=5031150311
LAYER=
LAYER=  idx=8445LAYER=7550166  idx=  idx=4377129LAYER=49 / layers=129  idx=
50311
LAYER=129 / layers=
LAYER= / solSize=LAYER=110 / solSize= / layers= / solSize=719250311  idx=43348 / solSize=50311
LAYER=88 / layers=129  idx=27017 / solSize=29LAYER=11550311LAYER=120 / layers=129  idx=8569 / layers=129 / layers= #verts=50311129348795250311
LAYER=42 / layers=129  idx= / solSize= / solSize=50311
88  idx= / layers=
129 / solSize=129  idx=
  idx=194 / solSize= / solSize=50311
LAYER=129 / layers=44979 / solSize= / layers=50311 / layers=50311129 / layers=1296803
LAYER=126 / layers=129  idx=2479 / solSize=50311  idx=LAYER=505031112911850311LAYER=
LAYER=99  idx=13393129  idx=27331 / solSize=42981LAYER=60 / layers=129  idx=39649 / solSize=50311

LAYER=116 / solSize=10110849 / solSize=50311
 / layers= / layers=
  idx=1393333358105 / solSize=129  idx= / solSize=50311
50311LAYER=98 / layers=129  idx=LAYER=50311 / layers=LAYER=127 / layers=129  idx=1578 / solSize=50311
LAYER=96 / layers=129  idx=22708 / solSize=50311LAYER=50311 / layers= / solSize=50311

129  idx=3586321256109 / layers=129  idx=14368
 / layers= / solSize=  idx=5031192 / layers=129
129LAYER=290LAYER=1295031147770 / solSize=50311
LAYER=36 / layers=129  idx=46453 / solSize=50311
LAYER=71 / solSize=
129  idx=10104 / solSize=50311
 / solSize=2462150311
LAYER=39 / layers=129  idx=45683 / solSize=50311
LAYER=129 / layers=129  idx=719 / solSize=50311
LAYER=118  idx=
LAYER=LAYER=  idx=2919622109 / layers=129  idx=8306 / solSize=50311

LAYER=LAYER=121 / layers=129  idx=6724 / solSize=LAYER=50311
LAYER=42 / layers=129LAYER=50311[BC] solutionVector finite after write? 
24939129 / layers=129  idx=8625 / solSize=50311
LAYER=73 / layers=
 / solSize=
 / solSize=  idx=14437 / solSize=50311
LAYER=85 / layers=129108 / layers=  idx=108 / solSize=
129yesLAYER=128 / solSize= / layers= / layers=LAYER=50311LAYER=
50311
LAYER=50311  idx=284484500959 / layers=LAYER=  idx=
  idx=95 / layers=50311129
106 / solSize=129 / solSize=
 / layers=10912928603 / layers=10842127 / solSize=  idx=89LAYER= / layers=UPDATE VOLTAGE END 10450311
 / solSize=129 / solSize=  idx= / layers=12950311
LAYER=34380129  idx=79 / layers= / layers= / layers=  idx=
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage( / layers=50311 / solSize=15270106  idx=23283 / solSize= / solSize= / layers=50311129LAYER=129  idx=17839 / solSize=50311

210522 / solSize=
5031112912915516LAYER= / solSize=50311
LAYER=43LAYER=129129  idx=16581 / solSize=81LAYER=129 / layers=  idx=129) V=129  idx=  idx=15313 / solSize=50311 / solSize=  idx=17356 / solSize=50311
 / layers=12970 / layers=129  idx=357215031150311LAYER=50311  idx=
3511312950311-0.603552
1007129 / layers=  idx= / solSize=  idx=

LAYER=

 / layers=LAYER=75  idx=LAYER=59 / layers=129  idx=50311 #verts=50311129  idx=LAYER=
 / solSize=50311 / solSize=47759  idx=58 / layers=129  idx=12931736
65  idx=LAYER=50311  idx=3875031150311LAYER= / solSize=50311
LAYER=83 / layers=129  idx=403563985744700121  idx= / layers=LAYER=126
14766 / solSize=50311
 / solSize=103
LAYER=LAYER= / layers=104 / solSize= / solSize= / solSize= / solSize=LAYER=
 / layers=51 / layers=129  idx=42615 / solSize=50311
LAYER=121 / layers=

127 / layers=129  idx=51129  idx=1639226326503115031150311129LAYER=78 / layers=129  idx=6337LAYER=50311129  idx=30588LAYER=77 / layers=129 / solSize=
 / layers=
LAYER= / layers=LAYER=129 / layers=129  idx=0 / solSize=50311
2283LAYER=129 / layers=129 / layers=LAYER=5031129407LAYER=39848  idx=129  idx=6449 / solSize=  idx=
54 / solSize=129
2806  idx=87
 / solSize=LAYER=64 / layers= / solSize=
 / solSize=3246850311LAYER=124 / layers=129  idx=33274LAYER=  idx=97 / solSize= / solSize= / layers= / solSize=5031150311LAYER=1295031137737 / solSize=
LAYER=88129[BC] solutionVector finite after write? 50311503111291296510475 / solSize=50311
LAYER=91 / layers= / layers=50311 / solSize=  idx=yes
LAYER=129 / layers=129  idx=19471 / solSize=50311
LAYER=129 / layers=129  idx=290 / solSize=50311
LAYER=12950311 / layers=
 / layers=
5031118340129
5031150311

UPDATE VOLTAGE END 
UPDATE VOLTAGE START / layers=56 / layers=129  idx=35279 / solSize=50311
LAYER=85 / layers=
  idx=LAYER=129  idx=129
 / solSize=50311  idx=LAYER=86 / layers=129  idx=28344 / solSize=50311
LAYER=10 / layers=129

LAYER=
129  idx=387 / solSize=129129 / layers=129  idx=40866 / solSize=50311
37870LAYER=3862LAYER=17685LAYER=LAYER= / layers=27483LAYER=58 / layers=129  idx=40061 / solSize=50311
LAYER=61 / layers=129  idx=39055 / solSize=50311
65 / layers=LAYER=  idx=
50311
  idx= / solSize=50311
 / solSize=50311
126 / layers=12978  idx= / solSize=
[BC] updateElectrodeVoltage(12950037 / solSize=94 / layers=  idx=LAYER=86 / layers=129  idx=108  idx=3216228834 / solSize=50311
LAYER=66 / layers=129  idx=LAYER=129 / layers=25393 / solSize=3) V=50311 / layers=41536 / solSize=50311
LAYER=69LAYER= / layers= / layers=11912928368  idx=484 / solSize=50311  idx=129-1.22343  idx=105 / solSize=5031137386LAYER=65 / layers= / layers=129 / solSize=
LAYER=129 / layers=1291764937749 / solSize= / solSize=2437560
50311 / solSize=129 / layers=5031112950311
LAYER=97 / layers=129  idx=21877 / solSize=50311
LAYER=61 / layers= / solSize= / solSize=LAYER=120 / layers=129  idx=129
50311LAYER=  idx=37666 / solSize=50311
LAYER=121 / layers=129  idx=6223 / solSize=50311
LAYER=12990 / layers=  idx=12926842 / solSize=50311
LAYER= / solSize=50311
6931  idx=62  idx=2923 / solSize=50311
50311LAYER=33 / layers=129  idx=47089 / solSize=50311
  idx=120 / layers=12912950311

  idx=38994 / solSize=50311 / layers=  idx= / layers=129  idx=25840 / solSize=50311
LAYER=119 / layers=5031162 / layers=129  idx=38932 / solSize=50311
  idx=LAYER=LAYER=LAYER= #verts=  idx=15608 / solSize=58050311
LAYER=LAYER=33469129  idx= / solSize=LAYER=
LAYER=35946109 / layers=129  idx=1440610637129
50
[BC] solutionVector finite after write? 50311
122 / layers= / solSize=  idx=7784108LAYER=
